municipio,dist_rio,dist_lago
BARANOA,1.275986857905614,17.60367485448971
BARRANQUILLA,1.99148089005829,5.885683694292155
CAMPO DE LA CRUZ,0.262271827829908,5.433398254450008
CANDELARIA,1.044205284417448,4.608124745188931
GALAPA,0.728151113212237,12.860763614518282
JUAN DE ACOSTA,1.859178163350998,10.258566363420968
LURUACO,1.906556563719911,1.591647379259128
MALAMBO,0.963124270240725,4.55644505974474
MANATÍ,1.595381567945146,5.478245445148
PALMAR DE VARELA,0.692781004963048,2.75998823289286
PIOJÓ,3.430433480718549,7.954901154354912
POLONUEVO,0.058357962997487,10.99447512538042
PONEDERA,0.099086398790624,5.083966367469738
PUERTO COLOMBIA,1.902684311740348,1.652850517266362
REPELÓN,1.438214320297147,1.562069763225594
SABANAGRANDE,0.574154076286911,1.54405300391256
SABANALARGA,0.705266525333551,8.32490008654472
SANTA LUCÍA,2.134185015397168,9.113102284704611
SANTO TOMÁS,2.537834539424502,5.124024254807073
SOLEDAD,2.112103133879049,1.787470321237574
SUAN,0.096866397333771,15.05169670349008
TUBARÁ,2.257754046682011,5.215228565790677
USIACURÍ,0.849955816326732,16.59706955994731
