municipio,latitud,longitud
BARRANQUILLA,10.98152771823087,-74.82774915964693
BARANOA,10.793293658378717,-74.92219640305643
CAMPO DE LA CRUZ,10.402620855645086,-74.87840832085742
CANDELARIA,10.489019585448387,-74.87756539446083
GALAPA,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,10.823092520111464,-75.07842405936859
LURUACO,10.635031161141915,-75.15402741021481
MALAMBO,10.848289285861627,-74.8061750526255
MANATÍ,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,10.694812386323434,-74.77015084732946
PIOJÓ,10.740779525620143,-75.14364579776823
POLONUEVO,10.767401673530337,-74.85414835065527
PONEDERA,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,11.00468737217774,-74.90650030692068
REPELÓN,10.507568372875568,-75.12187933511093
SABANAGRANDE,10.798940150928054,-74.76879660339148
SABANALARGA,10.62250793138987,-74.95510483828492
SANTA LUCÍA,10.35364191997005,-74.96541178661992
SANTO TOMÁS,10.744048200714978,-74.79479581261772
SOLEDAD,10.906909741834335,-74.77842447604834
SUAN,10.310850238176535,-74.90713309116475
TUBARÁ,10.907060348938531,-74.98448392990626
USIACURÍ,10.740522656584362,-74.98267412624779
