departamento,total_casos
AMAZONAS,4870
ANTIOQUIA,71052
ARAUCA,8943
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",954
ATLÁNTICO,55069
"BOGOTÁ, D.C.",316
BOLÍVAR,45869
BOYACÁ,6716
CALDAS,5161
CAQUETÁ,10403
CASANARE,23437
CAUCA,7419
CESAR,36207
CHOCÓ,5209
CUNDINAMARCA,31627
CÓRDOBA,30818
GUAINÍA,1004
GUAVIARE,4676
HUILA,48034
LA GUAJIRA,15039
MAGDALENA,20644
META,70671
NARIÑO,6977
NO IDENTIFICADO,2489
NORTE DE SANTANDER,47139
PUTUMAYO,13442
QUINDÍO,14298
RISARALDA,7304
SANTANDER,77715
SUCRE,30919
TOLIMA,81906
VALLE DEL CAUCA,159217
VAUPÉS,636
VICHADA,1610
