MUNICIPIO,2018,2019,2020,2021,2022,2023,TOTAL
BARANOA,62371,64550,66927,68800,70464,72072,405184
BARRANQUILLA,1206322,1230835,1260910,1271797,1274895,1277216,7521975
CAMPO DE LA CRUZ,22876,23641,24454,25124,25669,26217,147981
CANDELARIA,15977,16579,17240,17758,18197,18647,104398
GALAPA,60724,62945,65478,66754,67560,68313,391774
JUAN DE ACOSTA,21005,21596,22270,22748,23149,23545,134313
LURUACO,28173,29047,30001,30713,31315,31844,181093
MALAMBO,128199,133000,138416,141679,144155,146583,832032
MANATÍ,19803,20521,21325,21908,22405,22882,128844
PALMAR DE VARELA,28928,30007,31160,32090,32941,33778,188904
PIOJÓ,6609,6830,7079,7272,7420,7571,42781
POLONUEVO,18187,18749,19368,19836,20229,20628,116997
PONEDERA,23842,24518,25284,25818,26243,26657,152362
PUERTO COLOMBIA,49250,52086,55121,57267,59069,60841,333634
REPELÓN,26207,26977,27800,28418,28912,29382,167696
SABANAGRANDE,32341,33538,34851,35912,36855,37771,211268
SABANALARGA,93248,95541,98114,99882,101256,102557,590598
SANTA LUCÍA,16030,16629,17251,17792,18233,18699,104634
SANTO TOMÁS,29842,30976,32228,33251,34180,35083,195560
SOLEDAD,603998,627273,653377,670454,683762,696982,3935846
SUAN,11937,12350,12827,13192,13503,13814,77623
TUBARÁ,17376,17949,18586,19036,19376,19692,112015
USIACURÍ,12261,12771,13321,13795,14221,14627,80996
